timestamp,open,high,low,close,volume
2025-09-11 11:00:00,0.39377,0.39446,0.38944,0.39021,250133.830694
2025-09-11 12:00:00,0.3904,0.39548,0.38286,0.38906,2581300.208743
2025-09-11 13:00:00,0.38917,0.38959,0.38462,0.38887,745502.702817
2025-09-11 14:00:00,0.38913,0.38914,0.38409,0.38682,380713.275316
2025-09-11 15:00:00,0.387,0.38896,0.38545,0.38627,159752.259342
2025-09-11 16:00:00,0.38604,0.38934,0.38584,0.38656,474652.974531
2025-09-11 17:00:00,0.38647,0.38869,0.38553,0.38788,253043.574394
2025-09-11 18:00:00,0.38796,0.39146,0.38768,0.39048,958657.682846
2025-09-11 19:00:00,0.3905,0.39197,0.38905,0.39011,438984.34935
2025-09-11 20:00:00,0.39033,0.39146,0.38935,0.39064,425559.223865
2025-09-11 21:00:00,0.39067,0.39363,0.39047,0.39334,224709.807057
2025-09-11 22:00:00,0.39329,0.39462,0.39235,0.39387,554439.197702
2025-09-11 23:00:00,0.39377,0.39664,0.39377,0.39586,214618.327079
2025-09-12 00:00:00,0.39598,0.39984,0.39416,0.39793,509501.146591
2025-09-12 01:00:00,0.39795,0.39966,0.39458,0.39481,267331.417994
2025-09-12 02:00:00,0.39476,0.39598,0.39397,0.39498,198238.319581
2025-09-12 03:00:00,0.39498,0.39538,0.39053,0.39276,1321661.575792
2025-09-12 04:00:00,0.39272,0.39655,0.3916,0.39625,548633.153297
2025-09-12 05:00:00,0.39625,0.39887,0.39552,0.3988,432921.758552
2025-09-12 06:00:00,0.39879,0.3988,0.39614,0.39634,257387.258036
2025-09-12 07:00:00,0.39624,0.39785,0.39476,0.39707,212570.936081
2025-09-12 08:00:00,0.397,0.39717,0.39383,0.39424,137542.994931
2025-09-12 09:00:00,0.39442,0.39455,0.3925,0.39358,209417.864131
2025-09-12 10:00:00,0.39358,0.39367,0.39181,0.3934,154227.989557
2025-09-12 11:00:00,0.39303,0.39443,0.39161,0.39187,164565.822919
2025-09-12 12:00:00,0.39193,0.39466,0.3905,0.39381,189736.800541
2025-09-12 13:00:00,0.39384,0.39398,0.39145,0.39261,233865.527806
2025-09-12 14:00:00,0.39262,0.39496,0.39144,0.3928,586475.009964
2025-09-12 15:00:00,0.39275,0.39291,0.38991,0.39104,402957.232752
