timestamp,open,high,low,close,volume
2025-09-11 11:00:00,3.016,3.0166,3.0035,3.0076,436560.402343
2025-09-11 12:00:00,3.0076,3.0349,2.95,2.9981,6328553.771399
2025-09-11 13:00:00,2.998,3.0138,2.9759,3.0124,1396157.998408
2025-09-11 14:00:00,3.0126,3.0126,2.985,2.9988,708609.937286
2025-09-11 15:00:00,2.9994,3.0059,2.9894,2.995,480456.135233
2025-09-11 16:00:00,2.9949,3.0038,2.99,2.9961,412933.353448
2025-09-11 17:00:00,2.9963,3.0135,2.992,3.0135,467262.721185
2025-09-11 18:00:00,3.0135,3.0344,3.007,3.024,816186.425549
2025-09-11 19:00:00,3.0239,3.033,3.0204,3.026,595354.542606
2025-09-11 20:00:00,3.0259,3.0291,3.0109,3.0122,389592.478889
2025-09-11 21:00:00,3.0123,3.0239,3.011,3.0135,355775.785149
2025-09-11 22:00:00,3.0135,3.0287,3.0131,3.0246,433536.960865
2025-09-11 23:00:00,3.0243,3.0496,3.0241,3.0397,1027474.260605
2025-09-12 00:00:00,3.0397,3.0719,3.0332,3.0537,2169689.613988
2025-09-12 01:00:00,3.0538,3.0677,3.0373,3.0391,871769.341517
2025-09-12 02:00:00,3.0391,3.0542,3.038,3.0444,444529.265339
2025-09-12 03:00:00,3.0442,3.048,3.0321,3.0373,549913.801403
2025-09-12 04:00:00,3.0372,3.0557,3.0289,3.0537,615349.604847
2025-09-12 05:00:00,3.054,3.0734,3.0482,3.0723,698714.232707
2025-09-12 06:00:00,3.0724,3.0724,3.0486,3.0516,822926.442854
2025-09-12 07:00:00,3.0516,3.0732,3.0479,3.0667,859130.893522
2025-09-12 08:00:00,3.0669,3.0706,3.048,3.0552,663499.136971
2025-09-12 09:00:00,3.0551,3.0571,3.0442,3.0486,337966.448043
2025-09-12 10:00:00,3.0485,3.05,3.0393,3.0435,369960.404804
2025-09-12 11:00:00,3.0435,3.0527,3.0375,3.0391,322702.746511
2025-09-12 12:00:00,3.039,3.0445,3.0246,3.0416,700329.533613
2025-09-12 13:00:00,3.0416,3.0454,3.0273,3.0408,571386.395512
2025-09-12 14:00:00,3.0408,3.065,3.034,3.0391,1104326.132614
2025-09-12 15:00:00,3.0392,3.0397,3.0177,3.0278,709179.216448
2025-09-12 16:00:00,3.028,3.0429,3.0223,3.0409,488540.030915
2025-09-12 17:00:00,3.041,3.0729,3.0353,3.0655,1559707.661054
2025-09-12 18:00:00,3.0655,3.0789,3.0601,3.0788,711616.887808
2025-09-12 19:00:00,3.0788,3.0938,3.0667,3.0905,2093160.381746
2025-09-12 20:00:00,3.0904,3.1381,3.0825,3.1235,2532986.538147
2025-09-12 21:00:00,3.1236,3.1267,3.0855,3.0941,1532805.815808
2025-09-12 22:00:00,3.0941,3.1259,3.0941,3.1119,1162545.46017
2025-09-12 23:00:00,3.1116,3.1131,3.1003,3.1056,646458.045117
2025-09-13 00:00:00,3.1056,3.1074,3.0925,3.1025,763812.234651
2025-09-13 01:00:00,3.1026,3.1244,3.0932,3.0969,865869.881835
2025-09-13 02:00:00,3.0967,3.1067,3.09,3.1025,331851.178338
2025-09-13 03:00:00,3.1025,3.1169,3.1,3.1142,665213.290668
2025-09-13 04:00:00,3.1143,3.1166,3.1053,3.106,371729.775523
2025-09-13 05:00:00,3.1061,3.113,3.0993,3.1009,454419.607082
2025-09-13 06:00:00,3.1009,3.1166,3.1,3.1158,564559.812747
2025-09-13 07:00:00,3.1159,3.1219,3.1118,3.1171,395631.35811
